Day,Time_Period,Hour,Hour_Label,Total_Flow,Mean_Inflow,Mean_Outflow,IO_Balance,OD_Nonzero_Ratio,Top10pct_OD_Ratio,Inflow_Gini,Outflow_Gini,Hub_Inflow_Ratio,Hub_Outflow_Ratio,Self_Loop_Ratio
0,Early Morning,6,06:00–06:59,192926,302.86656200941917,302.86656200941917,215072.59081896153,0.17578720897850747,0.42424556565729865,0.600376347518479,0.47556161917997175,0.02399365559839527,0.010024569005680807,0.0038719509034351412
0,AM Peak,7,07:00–07:59,818302,1284.61852433281,1284.61852433281,10990.977173969997,0.3061544869125044,0.557833171616347,0.6268693920301414,0.48905874843556946,0.022318166153788798,0.011424877367999315,0.002752040200313879
0,AM Peak,8,08:00–08:59,884845,1389.0816326530612,1389.0816326530612,1.6038297556747534,0.2755582609810015,0.6110256598613316,0.6384573736153473,0.5014353816395821,0.022472862478713815,0.01626273528130208,0.0033000129966227983
0,Midday,9,09:00–09:59,474429,744.7864992150706,744.7864992150706,7850.525715630037,0.23260278631438083,0.5530437641881082,0.6220261015875473,0.4997059391626334,0.02409422695487819,0.015894896812766728,0.007286654062025537
0,Midday,10,10:00–10:59,316225,496.42857142857144,496.42857142857144,1.0360377116154897,0.2058387900504967,0.49922681634911853,0.5697833386472805,0.4764880241338008,0.016725432840487862,0.010780298837818704,0.011213534666736616
0,Midday,11,11:00–11:59,301987,474.0769230769231,474.0769230769231,3140.6604817202747,0.20185129963107087,0.49682602231221873,0.5419889497047028,0.47880706852971033,0.014596654822841391,0.011129618162334372,0.013040296436558393
0,Midday,12,12:00–12:59,323282,507.5070643642072,507.5070643642072,14129.67699298865,0.21003822371842107,0.4958890380534642,0.5289427021333796,0.4885712632730495,0.013548542758292918,0.011111042371641133,0.012493736118891575
0,Midday,13,13:00–13:59,325857,511.54945054945057,511.54945054945057,4710.543875646421,0.2070315869373954,0.5031348106684834,0.525257033970979,0.5042086991101435,0.013788256811994868,0.011679970048175487,0.012588343966793444
0,Midday,14,14:00–14:59,325934,511.6703296703297,511.6703296703297,1.0177432677534402,0.20946400538237273,0.5038811538532341,0.5107314008800637,0.5210592808230893,0.01314069719632459,0.013665343290317471,0.013051722127752699
0,Midday,15,15:00–15:59,383786,602.4897959183673,602.4897959183673,1570.9534093144744,0.2306386145812026,0.5167489173654067,0.49321715715115017,0.5225149553313091,0.011149442658118978,0.014112031184008505,0.011761763065844607
0,Midday,16,16:00–16:59,490661,770.2684458398744,770.2684458398744,9420.262192075668,0.2678888727330082,0.5216432526734344,0.49038777686808466,0.5129929347831321,0.010579605878578938,0.01310477091105039,0.009509620695328323
0,PM Peak,17,17:00–17:59,714900,1122.2919937205652,1122.2919937205652,1.339566849764798,0.29932547828937156,0.5507581479927263,0.4975558382428474,0.5679945532556288,0.011319065603565086,0.016756189676854445,0.006484823052166059
0,PM Peak,18,18:00–18:59,951821,1494.2244897959183,1494.2244897959183,1.6529122272926318,0.3036185612996557,0.5894469653432736,0.5129073803778096,0.633106078675001,0.01291944598825523,0.020622575042974864,0.0053161256160503744
0,Evening,19,19:00–19:59,429066,673.5729984301413,673.5729984301413,1.6171399514947935,0.21710135569745348,0.5379755095952604,0.5103858645291832,0.6315629272976495,0.014690047684937306,0.023005784657784568,0.007537301953528042
0,Evening,20,20:00–20:59,329926,517.9372056514914,517.9372056514914,7851.080607430386,0.19464276472574296,0.5135212138479538,0.5018597624541296,0.6375408705654189,0.014521438140629955,0.021874602183453638,0.008629207761714356
0,Evening,21,21:00–21:59,327978,514.8791208791209,514.8791208791209,9421.253891062657,0.18738986960561305,0.5172206672398758,0.5065533313473288,0.6670105845155042,0.014784528230506971,0.028450078968624573,0.009052436443880221
0,Evening,22,22:00–22:59,263574,413.77394034536894,413.77394034536894,40818.6067285298,0.15791743578242792,0.5066964116339244,0.5177486639130916,0.6917047737429978,0.015437789766762132,0.032063101823275195,0.012395001024333222
0,Evening,23,23:00–23:59,72920,114.47409733124019,114.47409733124019,227631.7515764854,0.05937861196887884,0.44835436094349973,0.5724563853981611,0.725110807224278,0.018554580361786144,0.051151947338848716,0.022586396050156523
1,Early Morning,6,06:00–06:59,191167,300.10518053375193,300.10518053375193,1571.9522644541876,0.17466341687018969,0.42429917297441505,0.6015157056617441,0.475215523090642,0.023937185811233438,0.009672171452135189,0.0037820335099479404
1,AM Peak,7,07:00–07:59,812126,1274.923076923077,1274.923076923077,1.9562441356594673,0.30423960430688396,0.5575107803468919,0.6284141454011294,0.4898170424490935,0.022372144223898296,0.011552394579152062,0.003134981517642416
1,AM Peak,8,08:00–08:59,880197,1381.784929356358,1381.784929356358,12560.477859987552,0.27510480100746976,0.610437208942998,0.6392746147921086,0.5023465124848273,0.022380217155906712,0.016008916185790215,0.003378789066534675
1,Midday,9,09:00–09:59,470365,738.4065934065934,738.4065934065934,7850.5282708595305,0.23136316475630223,0.5539421513080267,0.6234496237190194,0.500465143631317,0.02435130164866784,0.01574096712124469,0.006669288743833684
1,Midday,10,10:00–10:59,315192,494.80690737833595,494.80690737833595,1.0199475767712487,0.20567860038593386,0.4970272088124064,0.5736088278185069,0.4776704641875259,0.01672948551988398,0.010971090636783386,0.011446991040345418
1,Midday,11,11:00–11:59,300990,472.5117739403454,472.5117739403454,4710.536852818107,0.20288144239702885,0.4938170703345626,0.5477760647842236,0.4836793787200303,0.014920761487043022,0.011485431409643226,0.013312734642302692
1,Midday,12,12:00–12:59,324410,509.2778649921507,509.2778649921507,10989.95316789788,0.21031670728912263,0.4954286242717549,0.5339460690793,0.4905244284310457,0.01350759840937854,0.011195709133469388,0.012783206436260339
1,Midday,13,13:00–13:59,327033,513.3956043956044,513.3956043956044,12559.824609201918,0.20697243998432605,0.5039552583378436,0.5291001770780351,0.5074194956998397,0.013637767442387656,0.012625637168075925,0.013555206966839569
1,Midday,14,14:00–14:59,328637,515.9136577708007,515.9136577708007,1.0211723255017355,0.21016637545007136,0.5032269647057391,0.5157007438873796,0.5259769635365984,0.012801358337579756,0.013665533704319156,0.013495132927778992
1,Midday,15,15:00–15:59,384224,603.1773940345369,603.1773940345369,9420.252357096864,0.23161946821960278,0.5137341758973932,0.5000406372708541,0.5306227290360058,0.01163123594566807,0.013929374531487024,0.012128341800584742
1,Midday,16,16:00–16:59,492785,773.6028257456829,773.6028257456829,14129.831520766897,0.2688894420224315,0.5205779396694299,0.49516675708973423,0.5130358801206273,0.010669967632921721,0.012816948567807834,0.009872459591891246
1,PM Peak,17,17:00–17:59,701018,1100.4992150706437,1100.4992150706437,1.309644302599989,0.29695713571021937,0.5498189775440859,0.4982938313352083,0.5631471814304698,0.011172323677835416,0.016303433007403084,0.006857170571929883
1,PM Peak,18,18:00–18:59,913256,1433.6828885400314,1433.6828885400314,1.6216034088624873,0.2993747674169293,0.5880388412449521,0.5143426987941873,0.6309228089564444,0.01237221545764564,0.020283469257228768,0.005595364279013118
1,Evening,19,19:00–19:59,440257,691.1412872841445,691.1412872841445,1.5722254987242055,0.21939330012889108,0.5407682331002119,0.5102880236118971,0.6262727255543464,0.014309823580285356,0.022175683748305704,0.007520607281638859
1,Evening,20,20:00–20:59,345200,541.9152276295133,541.9152276295133,3141.4581052222147,0.19774058639275055,0.5180938586326768,0.5003119343824526,0.6294875220789805,0.01443221320969168,0.02181923522589276,0.008586326767066667
1,Evening,21,21:00–21:59,338978,532.1475667189953,532.1475667189953,20410.162689620945,0.1908844687494609,0.5199334470083604,0.50796331716206,0.658420514233323,0.014871171580412679,0.026715598062332317,0.009018284372410545
1,Evening,22,22:00–22:59,292798,459.6514913657771,459.6514913657771,4711.931868667856,0.16585298531923337,0.5178655591909781,0.5161519566272526,0.6907017501888856,0.015608030109441976,0.030601301921356697,0.012161968319414197
1,Evening,23,23:00–23:59,85460,134.160125588697,134.160125588697,175826.45694226964,0.06472894676527778,0.4710507839925111,0.5756211559494633,0.7288751133858284,0.018710507839706174,0.0702550900998098,0.02371869880618162
2,Early Morning,6,06:00–06:59,184932,290.3171114599686,290.3171114599686,189954.80087064457,0.17101848588729054,0.4197975472065408,0.5972717843320474,0.47678511964226244,0.02344104860152142,0.009906343953399593,0.004190729565439239
2,AM Peak,7,07:00–07:59,778218,1221.6923076923076,1221.6923076923076,2.0016251832428527,0.2993328716585052,0.5544795931217217,0.6247925638654568,0.488512375733841,0.022275249351695444,0.011602147470231217,0.0029696049178983656
2,AM Peak,8,08:00–08:59,848626,1332.2229199372057,1332.2229199372057,4711.176825082004,0.2720291594478632,0.6083480826653909,0.6384753160192854,0.5027230257560563,0.02215463584662483,0.016232121099263714,0.0035539801985756342
